client_id,client_name,industry,country,contract_type,start_date
C001,Nexum Group,Enterprise Technology,Germany,Retainer,2023-04-15
C002,Solara Retail,Retail,Spain,Project,2023-09-01
C003,Brindlewick & Co,Professional Services,United Kingdom,Project,2024-01-10
C004,Oakridge Health,Healthcare,Netherlands,Retainer,2023-12-20
C005,Northstar Logistics,Logistics,Germany,Retainer,2022-11-03
C006,Asteron Media,Marketing,France,Project,2024-02-05
C007,Cobalt Manufacturing,Manufacturing,Italy,Retainer,2023-06-18
C008,Harbor & Finch,Hospitality,Portugal,Project,2024-03-12
C009,Velora Foods,Consumer Goods,Belgium,Retainer,2023-08-08
C010,Helix Advisory,Consulting,Ireland,Project,2024-04-22
